date,session_key,driver_number,speed,brake,rpm,n_gear,drs,meeting_key,throttle,x,y,z
2025-05-04T19:08:13.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:13.868000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:14.189000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:14.469000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:14.709000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:14.909000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:15.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:15.428000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:15.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:16.068000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:16.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:16.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:16.908000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:17.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:17.748000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:18.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:18.428000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:18.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:18.908000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:19.228000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:19.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:19.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:19.868000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:20.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
